,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
0,"Antwerp, Belgium",within an hour,100.0,96.0,f,host neighbourhood not available,4,"['email', 'phone']",t,neighbourhood not available,Room in boutique hotel,Hotel room,1.0,1,60,t,14,3,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,175.17808219178082,175.17808219178082,1.1876478017149046,1.0,2.0,0.03,42,69,249,119.52054794520548,68.21917808219177,1 private bath,87.58904109589041,2.0,0.0,0.677965980021802
1,"Antwerp, Belgium",within an hour,100.0,97.0,t,host neighbourhood not available,1,"['email', 'phone', 'work_email']",t,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,2.0,2,30,t,5,137,24,0,4.94,4.95,4.97,4.92,4.91,4.9,4.78,f,180.0,180.0,0.0,2.0,4.0,1.07,30,55,296,145.97260273972603,81.0958904109589,2.5 baths,45.0,2.0,0.0,0.0
2,"Antwerp, Belgium",within an hour,100.0,73.0,f,host neighbourhood not available,2,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Entire condo,Entire home/apt,1.0,2,50,t,0,28,0,0,4.57,4.58,4.38,4.83,4.88,4.79,4.5,f,100.0,100.0,0.0,2.0,5.0,0.21,0,0,78,21.36986301369863,21.36986301369863,1 bath,20.0,2.5,0.0,0.0
3,"Antwerp, Belgium",within an hour,100.0,40.0,f,host neighbourhood not available,2,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Private room in home,Private room,1.0,14,365,t,3,4,1,0,4.0,4.67,2.67,4.67,4.0,4.67,4.33,f,15.0,15.0,0.0,1.0,2.0,0.03,3,3,87,3.5753424657534247,23.835616438356162,2 shared baths,7.5,2.0,0.0,0.0
4,"Antwerp, Belgium",within a few hours,100.0,100.0,t,host neighbourhood not available,1,['phone'],t,"Antwerpen, Vlaams Gewest, Belgium",Entire rental unit,Entire home/apt,1.0,2,30,t,7,425,81,9,4.77,4.81,4.84,4.9,4.9,4.96,4.74,f,106.8986301369863,106.8986301369863,10.24845865053505,2.0,3.0,3.3,24,50,309,90.06027397260274,84.65753424657534,1 bath,35.632876712328766,1.5,0.0,9.58708136615227
5,"Antwerp, Belgium",within an hour,100.0,85.0,t,host neighbourhood not available,2,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,2.0,3,90,t,14,77,16,0,4.8,4.83,4.85,4.87,4.86,4.5,4.77,f,73.67123287671232,73.67123287671232,8.81129207218406,2.0,2.0,0.61,26,50,325,66.3917808219178,89.04109589041096,1 bath,36.83561643835616,1.0,0.0,11.960288606720647
6,"Antwerp, Belgium",a few days or more,33.0,47.0,f,host neighbourhood not available,1,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,6,365,t,0,26,4,0,4.84,4.96,4.92,5.0,5.0,4.65,4.85,f,67.0,67.0,0.0,1.0,2.0,0.21,0,30,305,55.986301369863014,83.56164383561644,1.5 baths,33.5,2.0,0.0,0.0
7,"Antwerp, Belgium",within an hour,100.0,86.0,t,host neighbourhood not available,12,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Private room in rental unit,Private room,1.0,1,365,t,5,122,17,1,4.57,4.62,4.33,4.84,4.87,4.38,4.62,f,40.78356164383562,40.78356164383562,3.084835903993719,1.0,2.0,0.96,35,64,339,38.016438356164386,92.87671232876711,1.5 shared baths,20.39178082191781,2.0,0.0,7.56391982371159
8,"Antwerpen, Belgium",response not available,94.5228426395939,100.0,f,host neighbourhood not available,1,"['email', 'phone']",f,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,1.0,2,21,t,30,2,0,0,0.0,4.7311087866108785,4.645094142259414,4.817196652719665,4.824921548117155,4.752520920502092,4.655899581589958,t,281.90410958904107,281.90410958904107,137.86043312541275,2.0,4.0,0.02,60,90,365,281.90410958904107,100.0,1 bath,70.47602739726027,2.0,0.0,48.9033073431903
9,"Antwerpen, Belgium",within a few hours,100.0,100.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerp, Flanders, Belgium",Entire loft,Entire home/apt,1.0,2,30,t,23,25,2,0,4.8,4.88,4.8,4.96,4.88,4.92,4.68,f,138.0,138.0,0.0,1.0,2.0,0.21,53,83,358,135.35342465753425,98.08219178082192,1 bath,69.0,2.0,0.0,0.0
10,"Edegem, Belgium",within a few hours,100.0,100.0,t,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,2.0,2,365,t,14,101,15,0,4.48,4.66,4.44,4.82,4.79,4.29,4.36,f,120.0,120.0,0.0,3.0,5.0,0.83,37,67,342,112.43835616438356,93.69863013698631,1 bath,24.0,1.6666666666666667,0.0,0.0
11,"Antwerpen, Belgium",response not available,94.5228426395939,0.0,f,host neighbourhood not available,3,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Private room in townhouse,Private room,1.0,2,4,t,0,34,0,0,4.67,4.61,4.69,4.85,4.82,4.09,4.24,f,85.0,85.0,0.0,1.0,2.0,0.28,0,0,0,0.0,0.0,1.5 shared baths,42.5,2.0,0.0,0.0
12,"Antwerpen, Belgium",within a day,100.0,59.0,t,host neighbourhood not available,1,"['email', 'phone']",t,neighbourhood not available,Entire loft,Entire home/apt,1.0,2,1125,t,29,72,6,0,4.41,4.27,4.44,4.65,4.72,4.4,4.27,f,124.97260273972603,124.97260273972603,15.82004970291623,1.0,2.0,0.61,59,89,179,61.38356164383562,49.04109589041096,1 bath,62.486301369863014,2.0,0.0,12.658814296973416
13,"Antwerp, Belgium",within a day,88.0,100.0,t,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,1.0,2,14,t,0,81,15,2,4.66,4.7,4.64,4.87,4.88,4.36,4.56,f,75.32876712328768,75.32876712328768,7.633527108303335,1.0,2.0,0.68,1,1,234,47.58904109589041,64.10958904109589,1 bath,37.66438356164384,2.0,0.0,10.133614819169729
14,"Antwerp, Belgium",within a day,100.0,80.0,f,host neighbourhood not available,6,"['email', 'phone']",t,"Antwerp, Flanders, Belgium",Entire rental unit,Entire home/apt,1.0,7,1125,t,0,50,1,0,4.86,4.76,4.8,4.92,4.88,4.53,4.75,f,93.0,93.0,0.0,1.0,4.0,0.42,7,12,189,48.156164383561645,51.78082191780822,1.5 baths,23.25,4.0,0.0,0.0
15,"Antwerpen, Belgium",within a few hours,100.0,40.0,f,host neighbourhood not available,1,"['email', 'phone', 'work_email']",t,"Antwerp, Flemish Region, Belgium",Entire loft,Entire home/apt,1.0,2,1125,t,0,6,1,0,4.83,4.67,4.83,4.83,5.0,4.5,4.67,f,90.56164383561644,90.56164383561644,6.538109544146534,2.0,2.0,0.06,0,0,265,65.9041095890411,72.6027397260274,1 bath,45.28082191780822,1.0,0.0,7.219512883416986
16,"Antwerp, Belgium",within an hour,100.0,96.0,f,host neighbourhood not available,3,"['email', 'phone', 'work_email']",t,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,2.0,1,1125,t,17,102,22,1,4.62,4.65,4.46,4.72,4.86,4.89,4.55,f,235.85205479452054,235.85205479452054,24.985490897350903,3.0,6.0,1.15,34,61,303,193.14794520547946,83.01369863013699,1.5 baths,39.30867579908676,2.0,0.0,10.593713469708293
17,"Antwerp, Belgium",within an hour,100.0,96.0,f,host neighbourhood not available,4,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Room in boutique hotel,Hotel room,1.0,1,1125,t,8,3,1,0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,f,177.93150684931507,177.93150684931507,4.558317982881113,1.0,2.0,0.08,29,57,324,157.75342465753425,88.76712328767124,1 private bath,88.96575342465754,2.0,0.0,2.561838576875212
18,"Antwerp, Belgium",within an hour,100.0,96.0,f,host neighbourhood not available,4,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,2.0,3,366,t,12,15,9,0,5.0,5.0,5.0,5.0,5.0,5.0,4.8,f,204.5068493150685,204.5068493150685,14.244840291699408,2.0,3.0,0.15,36,66,316,176.36986301369862,86.57534246575342,1.5 baths,68.1689497716895,1.5,0.0,6.9654587801865935
19,"Antwerp, Belgium",within a few hours,100.0,88.0,t,host neighbourhood not available,3,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,1.0,7,65,t,18,67,6,0,4.83,4.83,4.8,4.79,4.91,4.62,4.8,f,85.0,85.0,0.0,1.0,2.0,0.62,48,78,168,39.12328767123287,46.02739726027397,1.5 baths,42.5,2.0,0.0,0.0
20,"Antwerpen, Belgium",response not available,94.5228426395939,0.0,f,host neighbourhood not available,3,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Entire home,Entire home/apt,5.0,1,30,t,0,48,0,0,4.63,4.73,4.42,4.84,4.89,4.2,4.52,f,317.2054794520548,317.2054794520548,36.16011360666565,5.0,10.0,0.48,0,0,0,0.0,0.0,2 baths,31.72054794520548,2.0,0.0,11.399586687193782
21,"Antwerp, Belgium",within an hour,100.0,94.0,f,host neighbourhood not available,2,['email'],t,neighbourhood not available,Entire rental unit,Entire home/apt,3.0,1,1125,t,7,284,44,1,4.62,4.73,4.63,4.88,4.9,4.55,4.59,t,77.0,77.0,0.0,5.0,5.0,2.48,35,64,339,71.51506849315068,92.87671232876711,1 bath,15.4,1.0,0.0,0.0
22,"Antwerp, Belgium",within an hour,100.0,94.0,f,host neighbourhood not available,2,['email'],t,neighbourhood not available,Entire rental unit,Entire home/apt,3.0,1,1125,t,7,25,1,0,4.56,4.79,4.54,4.92,4.88,4.67,4.67,t,77.0,77.0,0.0,5.0,5.0,0.23,35,64,339,71.51506849315068,92.87671232876711,1 bath,15.4,1.0,0.0,0.0
