,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
0,"Venice, Italy",within a day,91.0,85.0,t,San Polo,16,"['email', 'phone']",t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,2.0,5,365,t,4,175,12,1,4.94,4.96,4.99,4.89,4.85,4.96,4.92,f,247.67123287671234,247.67123287671234,7.276061144845582,4.0,4.0,1.12,9,39,266,182.1917808219178,72.87671232876713,2 baths,61.917808219178085,1.0,0.0,2.9377901746334487
1,"Venice, Italy",within a day,91.0,85.0,t,San Polo,16,"['email', 'phone']",t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,2.0,4,50,t,8,75,11,0,4.99,4.96,4.96,4.93,4.86,4.94,4.93,f,287.7808219178082,287.7808219178082,10.068783462836828,6.0,6.0,0.56,27,43,316,250.93150684931507,86.57534246575342,2 baths,47.9634703196347,1.0,0.0,3.498768054013178
2,"Venice, Italy",within a day,91.0,85.0,t,San Polo,16,"['email', 'phone']",t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,2.0,4,28,t,3,195,11,0,4.94,4.94,4.98,4.9,4.88,4.89,4.89,f,202.8082191780822,202.8082191780822,12.190855803697865,4.0,4.0,1.29,17,47,240,138.08219178082192,65.75342465753424,2 baths,50.70205479452055,1.0,0.0,6.0110265023299165
3,"Venice, Italy",within an hour,100.0,92.0,f,San Marco,2,"['email', 'phone']",t,"Venice, Veneto, Italy",Private room in bed and breakfast,Private room,1.0,1,1125,t,0,416,5,0,4.83,4.83,4.9,4.77,4.8,4.93,4.77,t,283.32876712328766,283.32876712328766,152.73936850778577,2.0,3.0,2.83,1,20,70,39.45205479452055,19.17808219178082,1 private bath,94.44292237442922,1.5,0.0,53.9088812119536
4,"Venice, Italy",within an hour,100.0,98.0,t,Cannaregio,7,"['email', 'phone', 'work_email']",t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,3.0,3,365,t,2,96,18,1,4.85,4.8,4.75,4.97,4.95,4.88,4.65,t,327.2986301369863,327.2986301369863,11.962217226562338,3.0,6.0,0.69,9,35,223,200.06575342465754,61.09589041095891,2 baths,54.54977168949771,2.0,0.0,3.6548326589560483
5,"Venice, Italy",within an hour,100.0,98.0,t,San Polo,4,"['email', 'phone']",t,"Venice, Veneto, Italy",Room in bed and breakfast,Hotel room,1.0,2,365,t,4,315,33,3,4.92,4.94,4.99,4.98,4.98,4.94,4.86,t,137.64931506849314,137.64931506849314,45.17594153098416,1.0,2.0,2.16,19,49,307,114.62465753424658,84.10958904109589,1 private bath,68.82465753424657,2.0,0.0,32.81959049960037
6,"Venice, Italy",within an hour,100.0,100.0,t,Dorsoduro/Accademia,2,"['email', 'phone']",t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,3.0,2,365,t,0,145,0,0,4.8,4.92,4.86,4.99,4.96,4.97,4.82,t,191.0,191.0,0.0,3.0,5.0,1.1,0,0,0,0.0,0.0,2 baths,38.2,1.6666666666666667,0.0,0.0
7,"Treviso, Italy",within an hour,100.0,99.0,t,Dorsoduro/Accademia,3,"['email', 'phone']",t,"Venice, Veneto, Italy",Entire rental unit,Entire home/apt,2.0,3,31,t,0,101,19,1,4.83,4.86,4.83,4.96,4.97,4.98,4.79,t,127.58904109589041,127.58904109589041,20.852593335200584,2.0,2.0,0.84,6,32,261,92.42465753424658,71.5068493150685,1 bath,63.794520547945204,1.0,0.0,16.343561450178683
8,"Venice, Italy",within an hour,100.0,100.0,f,San Marco,1,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,2.0,1,1125,t,4,160,1,0,4.73,4.8,4.81,4.79,4.81,4.94,4.77,t,156.4986301369863,156.4986301369863,9.421924588611683,3.0,4.0,1.16,6,36,176,72.32876712328768,48.21917808219178,1 bath,39.12465753424657,1.3333333333333333,0.0,6.020451795881209
9,"Venice, Italy",within an hour,100.0,98.0,f,San Polo,2,"['email', 'phone']",f,"Venice, Veneto, Italy",Room in bed and breakfast,Hotel room,1.0,2,29,t,11,68,24,0,4.41,4.65,4.77,4.47,4.52,4.86,4.55,t,80.6054794520548,80.6054794520548,21.107078459652143,1.0,2.0,0.48,41,66,66,18.82191780821918,18.08219178082192,1 private bath,40.3027397260274,2.0,0.0,26.185662070538164
